depth,seed,time,train_acc,test_acc,status,gap
2,42,0.2418930530548095,0.7583333333333333,0.6333333333333333,OPTIMAL,0.0
2,43,0.2078382968902588,0.7833333333333333,0.6666666666666666,OPTIMAL,0.0
2,44,0.2400264739990234,0.7166666666666667,0.8,OPTIMAL,0.0
2,45,0.2659287452697754,0.7333333333333333,0.7666666666666667,OPTIMAL,0.0
2,46,0.1681437492370605,0.7666666666666667,0.6666666666666666,OPTIMAL,0.0
2,47,0.1964752674102783,0.8416666666666667,0.5666666666666667,OPTIMAL,0.0
2,48,0.2578697204589844,0.7333333333333333,0.6666666666666666,OPTIMAL,0.0
2,49,0.2192840576171875,0.75,0.6333333333333333,OPTIMAL,0.0
2,50,0.2340528964996338,0.7833333333333333,0.9,OPTIMAL,0.0
2,51,0.2780923843383789,0.8083333333333333,0.7333333333333333,OPTIMAL,0.0
3,42,1.7469758987426758,0.7833333333333333,0.6666666666666666,OPTIMAL,0.0
3,43,1.2705602645874023,0.825,0.6666666666666666,OPTIMAL,0.0
3,44,4.802468299865723,0.7416666666666667,0.7666666666666667,OPTIMAL,0.0
3,45,8.208245038986206,0.75,0.7333333333333333,OPTIMAL,0.0
3,46,1.0839629173278809,0.7916666666666666,0.6666666666666666,OPTIMAL,0.0
3,47,1.5603811740875244,0.8583333333333333,0.6666666666666666,OPTIMAL,0.0
3,48,4.690120458602905,0.7666666666666667,0.6666666666666666,OPTIMAL,0.0
3,49,5.487863302230835,0.7583333333333333,0.7666666666666667,OPTIMAL,0.0
3,50,1.6206963062286377,0.7916666666666666,0.9333333333333332,OPTIMAL,0.0
3,51,1.1396145820617676,0.85,0.7666666666666667,OPTIMAL,0.0
4,42,15.199148178100586,0.8083333333333333,0.6666666666666666,FEASIBLE,0.5217391304347826
4,43,10.554664373397827,0.85,0.6,OPTIMAL,0.0
4,44,15.205082178115845,0.7,0.6333333333333333,FEASIBLE,0.6388888888888888
4,45,15.227903127670288,0.7416666666666667,0.7333333333333333,FEASIBLE,0.7096774193548387
4,46,3.4522173404693604,0.8083333333333333,0.7666666666666667,OPTIMAL,0.0
4,47,11.835584163665771,0.875,0.6333333333333333,OPTIMAL,0.0
4,48,15.201687574386597,0.8,0.6666666666666666,FEASIBLE,0.5833333333333334
4,49,15.23780632019043,0.7916666666666666,0.5666666666666667,FEASIBLE,0.64
4,50,15.28201675415039,0.8,0.9333333333333333,FEASIBLE,0.4583333333333333
4,51,12.288919925689697,0.85,0.7666666666666667,OPTIMAL,0.0
