Dataset,Noise,Seed,Method,Accuracy,Violations,Time
linear,0.1,42,CART,0.95,0,0.0009102821350097656
linear,0.1,42,EMDT,0.825,0,0.31212711334228516
linear,0.1,42,ODT,0.875,0,0.31490182876586914
linear,0.1,43,CART,0.825,0,0.0006883144378662109
linear,0.1,43,EMDT,0.8,0,0.3411064147949219
linear,0.1,43,ODT,0.825,0,0.31220531463623047
linear,0.1,44,CART,0.65,0,0.0005431175231933594
linear,0.1,44,EMDT,0.65,0,0.308213472366333
linear,0.1,44,ODT,0.7,0,0.2958645820617676
linear,0.2,42,CART,0.7,4,0.0006542205810546875
linear,0.2,42,EMDT,0.725,0,0.29391050338745117
linear,0.2,42,ODT,0.75,24,0.29398131370544434
linear,0.2,43,CART,0.725,0,0.0005507469177246094
linear,0.2,43,EMDT,0.725,0,0.31247639656066895
linear,0.2,43,ODT,0.75,0,0.2932100296020508
linear,0.2,44,CART,0.7,0,0.0005486011505126953
linear,0.2,44,EMDT,0.65,0,0.30341196060180664
linear,0.2,44,ODT,0.65,0,0.2657153606414795
nonlinear,0.1,42,CART,0.925,3,0.0006461143493652344
nonlinear,0.1,42,EMDT,0.875,0,0.31023693084716797
nonlinear,0.1,42,ODT,0.85,0,0.2994534969329834
nonlinear,0.1,43,CART,0.825,4,0.0005526542663574219
nonlinear,0.1,43,EMDT,0.85,0,0.3247370719909668
nonlinear,0.1,43,ODT,0.9,0,0.29355406761169434
nonlinear,0.1,44,CART,0.725,0,0.0007519721984863281
nonlinear,0.1,44,EMDT,0.725,0,0.29226160049438477
nonlinear,0.1,44,ODT,0.75,0,0.28174281120300293
nonlinear,0.2,42,CART,0.625,6,0.0006279945373535156
nonlinear,0.2,42,EMDT,0.725,0,0.3093554973602295
nonlinear,0.2,42,ODT,0.65,7,0.2968719005584717
nonlinear,0.2,43,CART,0.725,9,0.0006086826324462891
nonlinear,0.2,43,EMDT,0.725,0,0.306415319442749
nonlinear,0.2,43,ODT,0.75,0,0.29389214515686035
nonlinear,0.2,44,CART,0.675,17,0.0005328655242919922
nonlinear,0.2,44,EMDT,0.725,0,0.29361629486083984
nonlinear,0.2,44,ODT,0.7,0,0.2775452136993408
high_dim,0.1,42,CART,0.8,0,0.0006673336029052734
high_dim,0.1,42,EMDT,0.75,0,3.4829518795013428
high_dim,0.1,42,ODT,0.75,0,30.766336917877197
high_dim,0.1,43,CART,0.75,3,0.0008180141448974609
high_dim,0.1,43,EMDT,0.725,0,5.551242113113403
high_dim,0.1,43,ODT,0.775,5,30.863511562347412
high_dim,0.1,44,CART,0.75,0,0.0011644363403320312
high_dim,0.1,44,EMDT,0.775,0,14.275594711303711
high_dim,0.1,44,ODT,0.85,19,30.75152897834778
high_dim,0.2,42,CART,0.675,0,0.0008893013000488281
high_dim,0.2,42,EMDT,0.7,0,19.88831901550293
high_dim,0.2,42,ODT,0.7,9,30.78656768798828
high_dim,0.2,43,CART,0.725,4,0.0009174346923828125
high_dim,0.2,43,EMDT,0.7,0,24.837944507598877
high_dim,0.2,43,ODT,0.7,34,30.73227024078369
high_dim,0.2,44,CART,0.775,6,0.0009026527404785156
high_dim,0.2,44,EMDT,0.7,0,31.000584363937378
high_dim,0.2,44,ODT,0.725,34,30.834147214889526
