Dataset,Method,BudgetSec,Runs,Accuracy_Mean,Accuracy_Std,Accuracy_CI_L,Accuracy_CI_U,Cost_Mean,Cost_Std,Cost_CI_L,Cost_CI_U,viol_rate_Mean,viol_rate_Std,viol_rate_CI_L,viol_rate_CI_U,viol_severity_mean_Mean,viol_severity_mean_Std,viol_severity_mean_CI_L,viol_severity_mean_CI_U,Time_Mean,Time_Std,Time_CI_L,Time_CI_U,RelativeGap_Mean,RelativeGap_Std,RelativeGap_CI_L,RelativeGap_CI_U,OptimalRate,FeasibleRate
german_real,EMDT,1.0,10,0.29999999999999993,5.551115123125783e-17,0.29999999999999993,0.29999999999999993,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404718780517578,0.16123811165270144,1.3002962136268614,1.5010581082105636,,,,,0.0,0.0
german_real,EMDT,3.0,10,0.597,0.13274411474713294,0.513,0.6679999999999999,3.9823809523809524,1.147848327224867,3.2204523809523815,4.633440476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.545292019844055,0.08979717098439698,3.494318962097168,3.605061941742897,1.0385981001107718,0.14120698217335254,0.9491141581689703,1.1278958805527333,0.0,0.9
german_real,EMDT,5.0,10,0.704,0.0249799919935936,0.6899999999999998,0.72,4.519047619047619,0.42570469787860965,4.232357142857143,4.7548095238095245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.546840405464172,0.11585241160137119,5.478089547157287,5.625046425461769,1.0465480500602653,0.14577871422907762,0.9595523795212422,1.131943653402858,0.0,1.0
german_real,EMDT,10.0,10,0.696,0.024576411454888997,0.682,0.712,4.528095238095238,0.20085362050694586,4.3971309523809525,4.653369047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.563888120651246,0.07195034572114398,10.520965089201926,10.60938112437725,1.0380057299081842,0.14898837013692426,0.9477418140139567,1.1260283060491516,0.0,1.0
german_real,EMDT,15.0,10,0.6950000000000001,0.02061552812808828,0.683,0.7080249999999999,4.544761904761905,0.1986941495851476,4.416654761904761,4.669523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.590367698669434,0.11813439874672235,15.533891974687576,15.671127941608429,1.0337959011215487,0.147244375755355,0.944330802955265,1.120934747396153,0.0,1.0
german_real,ODT,1.0,10,0.29999999999999993,5.551115123125783e-17,0.29999999999999993,0.29999999999999993,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3451975345611573,0.20192239162230147,1.2207779133319856,1.4709885972738266,,,,,0.0,0.0
german_real,ODT,3.0,10,0.6040000000000001,0.10101485039339511,0.542,0.664,4.031428571428572,0.8567702893997818,3.4993571428571424,4.524309523809523,0.203,0.197790292987295,0.08949125,0.3289525,0.203,0.197790292987295,0.08949125,0.3289525,3.519126272201538,0.06685818285988392,3.4773632711172104,3.5585126239061355,1.0267549577638377,0.12117808944621918,0.9505153184491387,1.0967981238415196,0.0,1.0
german_real,ODT,5.0,10,0.689,0.01868154169226938,0.6779999999999999,0.7009999999999998,4.561904761904762,0.21935795821487647,4.423309523809524,4.686678571428571,0.06155000000000001,0.10022585744207929,0.012,0.12862499999999985,0.06155000000000001,0.10022585744207929,0.012,0.12862499999999985,5.506438994407654,0.05866824807410379,5.4720750534534455,5.543977270126343,1.0341792493315078,0.1415026670116311,0.947390619002461,1.118121473552338,0.0,1.0
german_real,ODT,10.0,10,0.684,0.019078784028338878,0.672,0.696,4.520952380952381,0.2404474287373324,4.362845238095238,4.67047619047619,0.03935,0.0855932386348361,0.0,0.10307249999999961,0.03935,0.0855932386348361,0.0,0.10307249999999961,10.574689793586732,0.06940451332075936,10.530777453780175,10.62243480205536,1.0186197698593986,0.133755896100136,0.9370810516462456,1.098891721765269,0.0,1.0
german_real,ODT,15.0,10,0.688,0.02039607805437111,0.6759999999999999,0.701,4.468095238095239,0.276445284757857,4.29047619047619,4.637619047619048,0.0344,0.053277481171692044,0.00925,0.07050000000000001,0.0344,0.053277481171692044,0.00925,0.07050000000000001,15.56232829093933,0.07545971448176474,15.5178641974926,15.60798798084259,1.0160054297228485,0.13338653126962247,0.9358688935352052,1.095918793446071,0.0,1.0
