Dataset,Noise,Method,AccuracyMean,AccuracyStd,ViolMean,ViolStd,TimeMean,Runs
high_dim,0.1,CART,0.7666666666666666,0.028867513459481322,1.0,1.7320508075688772,0.0008832613627115333,3
high_dim,0.1,EMDT,0.75,0.025000000000000022,0.0,0.0,7.769929567972819,3
high_dim,0.1,ODT,0.7916666666666666,0.05204164998665334,8.0,9.848857801796104,30.793792486190796,3
high_dim,0.2,CART,0.725,0.05000000000000003,3.3333333333333335,3.0550504633038935,0.0009031295776367,3
high_dim,0.2,EMDT,0.6999999999999998,0.0,0.0,0.0,25.24228262901306,3
high_dim,0.2,ODT,0.7083333333333334,0.014433756729740673,25.666666666666668,14.433756729740644,30.7843283812205,3
linear,0.1,CART,0.8083333333333332,0.15069284433354269,0.0,0.0,0.0007139046986897333,3
linear,0.1,EMDT,0.7583333333333333,0.09464847243000453,0.0,0.0,0.32048233350118,3
linear,0.1,ODT,0.7999999999999999,0.09013878188659974,0.0,0.0,0.307657241821289,3
linear,0.2,CART,0.7083333333333334,0.014433756729740664,1.3333333333333333,2.3094010767585034,0.0005845228830972667,3
linear,0.2,EMDT,0.7000000000000001,0.04330127018922189,0.0,0.0,0.30326628684997553,3
linear,0.2,ODT,0.7166666666666667,0.05773502691896256,8.0,13.856406460551018,0.2843022346496582,3
nonlinear,0.1,CART,0.8250000000000001,0.10000000000000002,2.3333333333333335,2.0816659994661326,0.0006502469380696333,3
nonlinear,0.1,EMDT,0.8166666666666668,0.08036375634160799,0.0,0.0,0.30907853444417316,3
nonlinear,0.1,ODT,0.8333333333333334,0.07637626158259736,0.0,0.0,0.2915834585825602,3
nonlinear,0.2,CART,0.6749999999999999,0.04999999999999996,10.666666666666666,5.686240703077327,0.0005898475646972,3
nonlinear,0.2,EMDT,0.725,0.0,0.0,0.0,0.30312903722127277,3
nonlinear,0.2,ODT,0.7000000000000001,0.05000000000000002,2.3333333333333335,4.041451884327381,0.28943641980489093,3
